"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"NUFIP2",0.197871152266056,0.197871152266056,0.144562631366484,0.144562631366484,0.0938005869816398,0.0938005869816398,0.07018508578218,0.07018508578218,0.0743712354801198,0.0743712354801198,0.0999152578375351
"SQSTM1",0.425279464827091,0.425279464827091,0.140325376609274,0.140325376609274,0.0377755735943568,0.0377755735943568,0.0133404986859593,0.0133404986859593,0.00831819132476452,0.00831819132476452,0.0218127801519933
"MFSD1",0.0658177839736884,0.0658177839736884,0.0269087396745713,0.0269087396745713,0.0508655562732359,0.0508655562732359,0.114706042041237,0.114706042041237,0.166781101176387,0.166781101176387,0.0579562106540739
"ATP9A",0.76974305519771,0.76974305519771,0.806802485126945,0.806802485126945,0.697259480162014,0.697259480162014,0.440158180314192,0.440158180314192,0.345731733119258,0.345731733119258,0.651090762447058
"WBP5",0.0734116341163134,0.0734116341163134,0.0268548859670121,0.0268548859670121,0.00920951402840364,0.00920951402840364,0.00411698960419848,0.00411698960419848,0.0026483346851881,0.0026483346851881,0.00641308286303377
"RPS27L",0.0176721497205666,0.0176721497205666,0.0011621167914555,0.0011621167914555,0.00026567142078382,0.00026567142078382,0.0001737303651973,0.0001737303651973,0.000247607868132271,0.000247607868132271,0.0003454049014322
"RDH10",0.00222385071294562,0.00222385071294562,0.00222392750390377,0.00222392750390377,0.0110829962729366,0.0110829962729366,0.0568549697084302,0.0568549697084302,0.0902754364015546,0.0902754364015546,0.00491273402779946
"FCGR3A",0.0376098324776658,0.0376098324776658,0.00335926105055118,0.00335926105055118,0.00107962845880782,0.00107962845880782,0.00243899014925808,0.00243899014925808,0.0164440843726188,0.0164440843726188,0.00290497875910178
"ARMC1",0.875441767894213,0.875441767894213,0.754167698821251,0.754167698821251,0.483532775251393,0.483532775251393,0.276788128487742,0.276788128487742,0.172232079763457,0.172232079763457,0.55606594964463
"CNP",0.357889541814232,0.357889541814232,0.368391464122647,0.368391464122647,0.185264581581793,0.185264581581793,0.0569621117476916,0.0569621117476916,0.0452057694331927,0.0452057694331927,0.102676042234971
"FN1",0.000229897419725789,0.000229897419725789,7.15597714240346e-06,7.15597714240346e-06,1.93314585659188e-05,1.93314585659188e-05,0.0024407663925794,0.0024407663925794,0.083858524645543,0.083858524645543,2.54785396758272e-05
"IFI27",0.71340483485516,0.71340483485516,0.484224267745558,0.484224267745558,0.267252639932123,0.267252639932123,0.197623209845406,0.197623209845406,0.172058476884343,0.172058476884343,0.317963113369525
"MATR3",0.234949657684413,0.234949657684413,0.256510303119605,0.256510303119605,0.140829568621419,0.140829568621419,0.0456317877323421,0.0456317877323421,0.0243202339275668,0.0243202339275668,0.0649567517199809
"IRF2BP2",0.147825484181812,0.147825484181812,0.0731907824130698,0.0731907824130698,0.0556945013684449,0.0556945013684449,0.0977899958064697,0.0977899958064697,0.197866279769656,0.197866279769656,0.0938019123410336
"IGLL5",0.00322626147781813,0.00322626147781813,0.0041141020604516,0.0041141020604516,0.00198713001895789,0.00198713001895789,0.00143629560963254,0.00143629560963254,0.0027269343321068,0.0027269343321068,0.00235937742677306
"C1orf43",0.475143689051625,0.475143689051625,0.231657267985244,0.231657267985244,0.162062903681217,0.162062903681217,0.184448882258591,0.184448882258591,0.259512680768193,0.259512680768193,0.235948407991629
"DDX5",0.737426618452477,0.737426618452477,0.83578073309115,0.83578073309115,0.92984369782289,0.92984369782289,0.953010464416371,0.953010464416371,0.93979589021263,0.93979589021263,0.918499139361865
"COL8A2",0.0272635076127207,0.0272635076127207,0.00526476282088806,0.00526476282088806,0.0102770683902329,0.0102770683902329,0.0713180152144351,0.0713180152144351,0.248180204406543,0.248180204406543,0.0146632067808439
"XPO1",0.981687908351398,0.981687908351398,0.982391818271388,0.982391818271388,0.966729762051342,0.966729762051342,0.919099297769295,0.919099297769295,0.82517257113397,0.82517257113397,0.968548266478833
"TIMMDC1",0.000390856237351578,0.000390856237351578,0.000288530597856385,0.000288530597856385,0.00246507141117247,0.00246507141117247,0.00738383916837704,0.00738383916837704,0.0128378882983644,0.0128378882983644,0.000752643549666532
"FOS",0.0210971978247991,0.0210971978247991,0.013416388788029,0.013416388788029,0.0273660153588847,0.0273660153588847,0.0519659411479703,0.0519659411479703,0.0733854366219739,0.0733854366219739,0.0261560533860836
"CD44",0.447591555614118,0.447591555614118,0.430862521837593,0.430862521837593,0.374563852538816,0.374563852538816,0.236344038744651,0.236344038744651,0.105875777465362,0.105875777465362,0.25692291458074
"KDM5A",0.199141806037861,0.199141806037861,0.16585581085661,0.16585581085661,0.199378214038303,0.199378214038303,0.222197685795218,0.222197685795218,0.212696771515741,0.212696771515741,0.198135419597736
"DICER1",0.705968955695758,0.705968955695758,0.552749082094408,0.552749082094408,0.412892161327187,0.412892161327187,0.511257683969133,0.511257683969133,0.705863805780859,0.705863805780859,0.588822465803375
"EIF4G2",0.0751404907475958,0.0751404907475958,0.0935859494281333,0.0935859494281333,0.218069794755342,0.218069794755342,0.389703651015691,0.389703651015691,0.312059487778495,0.312059487778495,0.151297059624717
"HLA-DRA",0.391332016043365,0.391332016043365,0.188915609575591,0.188915609575591,0.0446285802610564,0.0446285802610564,0.0336091500760776,0.0336091500760776,0.0578483379951578,0.0578483379951578,0.0659113808000908
"SRP9",0.351752204542809,0.351752204542809,0.28723291957002,0.28723291957002,0.0986053967140358,0.0986053967140358,0.0440332539798711,0.0440332539798711,0.0330952547055655,0.0330952547055655,0.0737845763225018
"ZNF639",0.173311653912483,0.173311653912483,0.290090185911043,0.290090185911043,0.140503608791125,0.140503608791125,0.0581908863885903,0.0581908863885903,0.0671585934980412,0.0671585934980412,0.104883612592764
"MCCC2",0.401669077774278,0.401669077774278,0.42861788868269,0.42861788868269,0.253084365265602,0.253084365265602,0.138549302852899,0.138549302852899,0.0922961962593377,0.0922961962593377,0.196785795980081
"SERPINB1",0.0361779448658295,0.0361779448658295,0.00302298732454953,0.00302298732454953,0.000583072771580317,0.000583072771580317,0.000241963087317165,0.000241963087317165,0.000225868873503288,0.000225868873503288,0.000470208701103814
"ACTN1",0.521968529217895,0.521968529217895,0.250044652466682,0.250044652466682,0.221997633580529,0.221997633580529,0.457000162242165,0.457000162242165,0.615999534343064,0.615999534343064,0.385603851405511
"HMCN1",0.30630504253549,0.30630504253549,0.124142582920761,0.124142582920761,0.0855403286331513,0.0855403286331513,0.0798285754923364,0.0798285754923364,0.0968851548158148,0.0968851548158148,0.110297586835726
"ANKIB1",0.218937366485618,0.218937366485618,0.16253062097677,0.16253062097677,0.190781187697652,0.190781187697652,0.201427224993562,0.201427224993562,0.200969787216033,0.200969787216033,0.193270944733274
"CDC42SE2",0.0829593128857954,0.0829593128857954,0.214771882031868,0.214771882031868,0.332433595688353,0.332433595688353,0.205771804966738,0.205771804966738,0.0931960284922262,0.0931960284922262,0.144790019006499
"PYGL",0.0205954620530285,0.0205954620530285,0.00949663445351412,0.00949663445351412,0.0109888691991333,0.0109888691991333,0.0220681606729037,0.0220681606729037,0.0549889223462365,0.0549889223462365,0.0162214701630254
"COPA",0.0769430438153033,0.0769430438153033,0.0685452311401711,0.0685452311401711,0.103685067206106,0.103685067206106,0.0672169400905116,0.0672169400905116,0.055146805524436,0.055146805524436,0.0712362323422036
"MAP3K1",0.751170738005825,0.751170738005825,0.51271065081097,0.51271065081097,0.206329593675773,0.206329593675773,0.131538698725459,0.131538698725459,0.143513681905511,0.143513681905511,0.262595121961132
"CXCL17",0.0632487378930792,0.0632487378930792,0.068533265258705,0.068533265258705,0.0915069056122989,0.0915069056122989,0.0737128115827409,0.0737128115827409,0.0619028367958777,0.0619028367958777,0.070395379793849
"FAM3C",0.904487436299657,0.904487436299657,0.926235359019168,0.926235359019168,0.930594328598079,0.930594328598079,0.89621466489102,0.89621466489102,0.751741632880341,0.751741632880341,0.903313651213921
"ZFP36L1",0.161913979562503,0.161913979562503,0.0921589234553837,0.0921589234553837,0.0826918575530493,0.0826918575530493,0.0379979866807897,0.0379979866807897,0.019563424970587,0.019563424970587,0.0471608540196192
"HLA-C",0.087839237494217,0.087839237494217,0.0612188941391557,0.0612188941391557,0.0305470929695453,0.0305470929695453,0.0202119784613743,0.0202119784613743,0.0202824221555469,0.0202824221555469,0.031441332166997
"MAFB",0.237967640795986,0.237967640795986,0.0956744819831998,0.0956744819831998,0.0753015818512863,0.0753015818512863,0.0892254155653714,0.0892254155653714,0.143520543273442,0.143520543273442,0.109246618366549
"STRN",0.0633217357321592,0.0633217357321592,0.0492358199589897,0.0492358199589897,0.0649766459759877,0.0649766459759877,0.0568316562741412,0.0568316562741412,0.043867259728769,0.043867259728769,0.0544279807270008
"PLOD2",0.53794800334024,0.53794800334024,0.390071896917127,0.390071896917127,0.298045611357466,0.298045611357466,0.256562632777059,0.256562632777059,0.287617200283126,0.287617200283126,0.341248961705439
"HMGN3",0.439649974480383,0.439649974480383,0.34648531053616,0.34648531053616,0.21807162165915,0.21807162165915,0.075289352518053,0.075289352518053,0.0273921876549155,0.0273921876549155,0.0877303888604246
"NAP1L1",0.21590494841518,0.21590494841518,0.180223991688538,0.180223991688538,0.0857995632983793,0.0857995632983793,0.0285246018829193,0.0285246018829193,0.0219929355266185,0.0219929355266185,0.0493166993436147
"SDC2",0.090147781136981,0.090147781136981,0.00873363798822546,0.00873363798822546,0.000678414541002259,0.000678414541002259,0.00017484188662531,0.00017484188662531,0.000133892059159701,0.000133892059159701,0.000338124576013454
"CTSL",0.187668312692037,0.187668312692037,0.230117384274526,0.230117384274526,0.193093357808934,0.193093357808934,0.072368427172724,0.072368427172724,0.0422169317006506,0.0422169317006506,0.0970526801171544
"PPP3CA",0.150708460951505,0.150708460951505,0.132041786869099,0.132041786869099,0.210766786173938,0.210766786173938,0.128548126968288,0.128548126968288,0.084766257523067,0.084766257523067,0.130431328932269
"PDLIM5",0.0817998615020459,0.0817998615020459,0.016490100942209,0.016490100942209,0.00399882225019321,0.00399882225019321,0.0021975567644863,0.0021975567644863,0.001776066820808,0.001776066820808,0.00372927191834393
"COL10A1",0.184494151966102,0.184494151966102,0.0550037263177986,0.0550037263177986,0.0110500033629075,0.0110500033629075,0.00718174441638242,0.00718174441638242,0.0151412905639722,0.0151412905639722,0.0156872101855339
"HNRNPK",0.333073375882531,0.333073375882531,0.39017263321482,0.39017263321482,0.294051827803385,0.294051827803385,0.155330256195163,0.155330256195163,0.117101507575517,0.117101507575517,0.216735136291924
"RNF7",0.245903022898748,0.245903022898748,0.424095481226237,0.424095481226237,0.38955178738666,0.38955178738666,0.220556495111696,0.220556495111696,0.180278441446099,0.180278441446099,0.270003943040422
"CTNNB1",0.340748827649751,0.340748827649751,0.237347714564386,0.237347714564386,0.116509509975447,0.116509509975447,0.079355871921515,0.079355871921515,0.0699166351593551,0.0699166351593551,0.119854515650607
"RPL13A",0.119958911589477,0.119958911589477,0.135966909883903,0.135966909883903,0.224226758919594,0.224226758919594,0.247634656217313,0.247634656217313,0.158826445512213,0.158826445512213,0.165246423344926
"FADS2",1.71618409763319e-05,1.71618409763319e-05,6.27514480812108e-05,6.27514480812108e-05,0.0146943874709458,0.0146943874709458,0.27462943847947,0.27462943847947,0.569243748464973,0.569243748464973,6.73176779358853e-05
"EEF1B2",0.0566059502603662,0.0566059502603662,0.221852030357652,0.221852030357652,0.408998188344116,0.408998188344116,0.350479117347415,0.350479117347415,0.424330223588837,0.424330223588837,0.181406751987976
"QKI",0.179552446503448,0.179552446503448,0.147562134021342,0.147562134021342,0.157032529672129,0.157032529672129,0.146668800241668,0.146668800241668,0.172796851292525,0.172796851292525,0.159736948438109
"SEC61B",0.382706675441836,0.382706675441836,0.126472971269089,0.126472971269089,0.0383179084959001,0.0383179084959001,0.0364209422952633,0.0364209422952633,0.078997266868697,0.078997266868697,0.0662271992096553
"VIM",0.000126333808013301,0.000126333808013301,6.5211901603357e-05,6.5211901603357e-05,0.000315282574089193,0.000315282574089193,0.000448797396235046,0.000448797396235046,9.97141621761344e-05,9.97141621761344e-05,0.000129269911598895
"PRDX4",0.157515880440519,0.157515880440519,0.00377905610517926,0.00377905610517926,0.000307335978965373,0.000307335978965373,0.000286290478354267,0.000286290478354267,0.000427208414489288,0.000427208414489288,0.0005343060363181
"SF3B6",0.591987540139572,0.591987540139572,0.493161738157856,0.493161738157856,0.378376803145693,0.378376803145693,0.361507104974433,0.361507104974433,0.385505080091875,0.385505080091875,0.439197906031569
"PTGES3",0.244857851034645,0.244857851034645,0.0693247576258742,0.0693247576258742,0.0117614869853295,0.0117614869853295,0.00415985756329518,0.00415985756329518,0.0037511018944818,0.0037511018944818,0.00820323683399948
"SULF2",0.218889943252055,0.218889943252055,0.0289228281773862,0.0289228281773862,0.00986103510123215,0.00986103510123215,0.0246553673867235,0.0246553673867235,0.0674895841005625,0.0674895841005625,0.0256180457553831
"NDUFAB1",0.793872731088587,0.793872731088587,0.897726425716198,0.897726425716198,0.715810719911462,0.715810719911462,0.578059465410629,0.578059465410629,0.604210125466778,0.604210125466778,0.771396753193168
"CD55",0.0963622856903344,0.0963622856903344,0.0155049872607913,0.0155049872607913,0.00573743152332451,0.00573743152332451,0.00387004720062845,0.00387004720062845,0.0059575322636527,0.0059575322636527,0.00740612314823941
"NCKAP1",0.0522930870556533,0.0522930870556533,0.0359533328494086,0.0359533328494086,0.100606697363474,0.100606697363474,0.251025197000186,0.251025197000186,0.472251021547107,0.472251021547107,0.0819634404405253
"PALLD",0.0693366389809413,0.0693366389809413,0.0081306677684635,0.0081306677684635,0.00114030679458832,0.00114030679458832,0.00234601916871968,0.00234601916871968,0.0136742892411258,0.0136742892411258,0.00330360810068597
"SFRP2",0.116375272171287,0.116375272171287,0.0541866967009685,0.0541866967009685,0.0960940230637638,0.0960940230637638,0.262757471898811,0.262757471898811,0.51681359700988,0.51681359700988,0.121022805682915
"GPNMB",0.800239423145726,0.800239423145726,0.621367640674946,0.621367640674946,0.470907550745918,0.470907550745918,0.474169348307838,0.474169348307838,0.600359967687587,0.600359967687587,0.617406087583188
"MYO5A",0.310114422210328,0.310114422210328,0.0833943013179822,0.0833943013179822,0.0700389457493736,0.0700389457493736,0.234301193104742,0.234301193104742,0.61570604242837,0.61570604242837,0.15280535363938
"DUSP14",0.168558121587144,0.168558121587144,0.0540311236195816,0.0540311236195816,0.0142206229021613,0.0142206229021613,0.0110484224953653,0.0110484224953653,0.0165642767559457,0.0165642767559457,0.020400069585842
"RAB11A",0.385829140939561,0.385829140939561,0.401556015515902,0.401556015515902,0.248004627183527,0.248004627183527,0.178133356674461,0.178133356674461,0.261202414838166,0.261202414838166,0.276293785970882
"TMEM106B",0.335140771497772,0.335140771497772,0.166019055188325,0.166019055188325,0.119665934356672,0.119665934356672,0.0891012800570202,0.0891012800570202,0.0594362376685752,0.0594362376685752,0.112027869888534
"COL6A2",0.000912004682289691,0.000912004682289691,0.000136420096905843,0.000136420096905843,0.000129783750699275,0.000129783750699275,0.000273216781997432,0.000273216781997432,0.000575641814111627,0.000575641814111627,0.000232242780742853
"GALNT1",0.933980774965678,0.933980774965678,0.830454308336257,0.830454308336257,0.705837153696437,0.705837153696437,0.648760180082141,0.648760180082141,0.637798742849002,0.637798742849002,0.825191420509883
"HINT1",0.485106079983055,0.485106079983055,0.272821324947795,0.272821324947795,0.170911135423998,0.170911135423998,0.119658532378209,0.119658532378209,0.0877042584665406,0.0877042584665406,0.166616305852674
"CTSK",0.281596343150454,0.281596343150454,0.516834780697407,0.516834780697407,0.788798357021496,0.788798357021496,0.728594420361608,0.728594420361608,0.561018733614551,0.561018733614551,0.597491739796766
"POFUT1",0.88985844910052,0.88985844910052,0.943065768047505,0.943065768047505,0.847557897213129,0.847557897213129,0.798895737886787,0.798895737886787,0.839039097363612,0.839039097363612,0.886345650445894
"LAPTM4B",0.023643369270725,0.023643369270725,0.0448820687303835,0.0448820687303835,0.0590331460823508,0.0590331460823508,0.0723045541618779,0.0723045541618779,0.0509412004423639,0.0509412004423639,0.0435288716831264
"CRISPLD2",0.127513434657217,0.127513434657217,0.0108910967360067,0.0108910967360067,0.00352450692136408,0.00352450692136408,0.00690411880806796,0.00690411880806796,0.0190092655962166,0.0190092655962166,0.00861445139053463
"TFF3",3.64468701872234e-05,3.64468701872234e-05,2.91809628212292e-05,2.91809628212292e-05,0.000110031824074541,0.000110031824074541,0.000104317449046931,0.000104317449046931,0.000111748956277746,0.000111748956277746,5.5972771476287e-05
"HSP90AA1",0.257002773387666,0.257002773387666,0.0422232403409668,0.0422232403409668,0.00758939512615164,0.00758939512615164,0.00744887571226971,0.00744887571226971,0.0126277542864989,0.0126277542864989,0.0134450907686383
"ATL3",0.691076812608713,0.691076812608713,0.803329242456067,0.803329242456067,0.748665741864243,0.748665741864243,0.719820539865181,0.719820539865181,0.764639298219663,0.764639298219663,0.750194549849048
"ERO1L",0.883318817797734,0.883318817797734,0.890781180394049,0.890781180394049,0.750211872914064,0.750211872914064,0.461655590398863,0.461655590398863,0.215626934262683,0.215626934262683,0.751299141330286
"GABARAPL2",0.114815182158157,0.114815182158157,0.0645633372089248,0.0645633372089248,0.0384256168929727,0.0384256168929727,0.0248842298256241,0.0248842298256241,0.0290057579109213,0.0290057579109213,0.0401132105756333
"HNRNPC",0.213106626954762,0.213106626954762,0.293778895169015,0.293778895169015,0.444472557009698,0.444472557009698,0.72523346451588,0.72523346451588,0.819357231436499,0.819357231436499,0.514471841542507
"LRP1",0.81524006701684,0.81524006701684,0.465832008454436,0.465832008454436,0.0997321705545131,0.0997321705545131,0.0219828977568781,0.0219828977568781,0.0163277694614664,0.0163277694614664,0.0444107754521765
"FBXL5",0.560462970630762,0.560462970630762,0.685271460706561,0.685271460706561,0.672444096625292,0.672444096625292,0.459397449906511,0.459397449906511,0.350639941573055,0.350639941573055,0.551551734855694
"ATP6V1F",0.103071940196717,0.103071940196717,0.0574515072176812,0.0574515072176812,0.0488402952941982,0.0488402952941982,0.0571260765511921,0.0571260765511921,0.0513698309461383,0.0513698309461383,0.0591849115663914
"MXRA5",0.401654932451452,0.401654932451452,0.16278253713973,0.16278253713973,0.0414093334399859,0.0414093334399859,0.0233923021535344,0.0233923021535344,0.0389400112707958,0.0389400112707958,0.0501682792532585
"LMAN1",0.246217033527427,0.246217033527427,0.0893222045786103,0.0893222045786103,0.0728221358906394,0.0728221358906394,0.136237607454608,0.136237607454608,0.199665900005961,0.199665900005961,0.1223639639647
"PSMA5",0.777075421675875,0.777075421675875,0.956831181554491,0.956831181554491,0.977621227925632,0.977621227925632,0.931497405420324,0.931497405420324,0.866224170129215,0.866224170129215,0.946605835831697
"TMOD3",0.0649438998789058,0.0649438998789058,0.0195456078821487,0.0195456078821487,0.0199752007849469,0.0199752007849469,0.0438778574415943,0.0438778574415943,0.0764026483213716,0.0764026483213716,0.0328297886484189
"MBNL1",0.241759664042227,0.241759664042227,0.214138814901165,0.214138814901165,0.381263825223965,0.381263825223965,0.610591137951771,0.610591137951771,0.720010687227188,0.720010687227188,0.406630763308333
"SPARCL1",0.199903235248602,0.199903235248602,0.0712957644388443,0.0712957644388443,0.0171418184704006,0.0171418184704006,0.00739007524132052,0.00739007524132052,0.00618065507040966,0.00618065507040966,0.013380244889295
"EIF2S2",0.745304875082979,0.745304875082979,0.685024057619666,0.685024057619666,0.340520512391357,0.340520512391357,0.221310833678352,0.221310833678352,0.250549972734913,0.250549972734913,0.430161278925207
"KRT17",0.000545736756279447,0.000545736756279447,0.000492497798964986,0.000492497798964986,0.000235597096361229,0.000235597096361229,0.000179937184531131,0.000179937184531131,0.000361199128488532,0.000361199128488532,0.000304257740173508
"PHF20L1",0.284520153696716,0.284520153696716,0.556136516633594,0.556136516633594,0.67627272650094,0.67627272650094,0.504232673321903,0.504232673321903,0.357368041588437,0.357368041588437,0.469881911844774
"SDHC",0.571878538928898,0.571878538928898,0.31442210942914,0.31442210942914,0.101122168243715,0.101122168243715,0.0653578580356926,0.0653578580356926,0.0895688868440598,0.0895688868440598,0.128238306962501
"C1QB",0.0111276011795928,0.0111276011795928,0.00240289563759932,0.00240289563759932,0.00161296291313873,0.00161296291313873,0.00586093458371417,0.00586093458371417,0.0290607383809631,0.0290607383809631,0.00375675121278063
"ARFGEF3",0.034812586647174,0.034812586647174,0.0249729054082584,0.0249729054082584,0.00875378803562066,0.00875378803562066,0.00372169366352049,0.00372169366352049,0.00283444327683924,0.00283444327683924,0.00621613903837537
"FOXA1",0.354449050593008,0.354449050593008,0.345117949488509,0.345117949488509,0.248916764205193,0.248916764205193,0.107184309929482,0.107184309929482,0.0681548830837222,0.0681548830837222,0.154444877031449
"MORF4L2",0.364085631697953,0.364085631697953,0.148895974555268,0.148895974555268,0.0757506821669275,0.0757506821669275,0.0487611011265077,0.0487611011265077,0.046809007655534,0.046809007655534,0.0787929545228383
"WWTR1",0.56725722545121,0.56725722545121,0.747081899030572,0.747081899030572,0.854904629952346,0.854904629952346,0.8889048754105,0.8889048754105,0.902197589264556,0.902197589264556,0.840596765176521
"MSL1",0.736626964702813,0.736626964702813,0.615497019827526,0.615497019827526,0.457440760967006,0.457440760967006,0.274634169308545,0.274634169308545,0.241601932748316,0.241601932748316,0.452867449990507
"C14orf2",0.0490096700366842,0.0490096700366842,0.0154311114875858,0.0154311114875858,0.00789217500941852,0.00789217500941852,0.00196148460799805,0.00196148460799805,0.000548387980343401,0.000548387980343401,0.00196460081136673
"SLK",0.010055068798114,0.010055068798114,0.00096649685650696,0.00096649685650696,9.26558808975741e-05,9.26558808975741e-05,2.27520460107655e-05,2.27520460107655e-05,1.72854245984455e-05,1.72854245984455e-05,4.39633856261779e-05
"PTPRC",0.756065772496114,0.756065772496114,0.559098937193294,0.559098937193294,0.361676906025429,0.361676906025429,0.157073663476573,0.157073663476573,0.100218131991765,0.100218131991765,0.278835572110678
"PSMB4",0.205510556345484,0.205510556345484,0.232206366094192,0.232206366094192,0.416766169011745,0.416766169011745,0.485758645904039,0.485758645904039,0.370400599140038,0.370400599140038,0.31925138390954
"TMEM30A",0.23847121165749,0.23847121165749,0.095325790418322,0.095325790418322,0.0251256430285932,0.0251256430285932,0.0119434409339449,0.0119434409339449,0.00794016991109148,0.00794016991109148,0.0189979020871966
"EID2",0.599761929228264,0.599761929228264,0.507685171695619,0.507685171695619,0.346979971298748,0.346979971298748,0.159898035840959,0.159898035840959,0.105754570171993,0.105754570171993,0.253475449149677
"PARP14",0.027564244594764,0.027564244594764,0.00224099675765388,0.00224099675765388,0.000406947066857288,0.000406947066857288,0.000366127600749833,0.000366127600749833,0.000612676315987715,0.000612676315987715,0.00068463036615174
"NACA",0.192812273321298,0.192812273321298,0.184015923677622,0.184015923677622,0.111506346852236,0.111506346852236,0.0220968874867602,0.0220968874867602,0.00715985676936937,0.00715985676936937,0.0246086338777887
"MAGED1",0.446443320638848,0.446443320638848,0.338792628582316,0.338792628582316,0.252445500262744,0.252445500262744,0.19271372550799,0.19271372550799,0.187383591866028,0.187383591866028,0.261474647799852
"MPHOSPH6",0.221382940941691,0.221382940941691,0.0736278096221012,0.0736278096221012,0.0183403836822376,0.0183403836822376,0.00788461336542046,0.00788461336542046,0.0063622634167837,0.0063622634167837,0.0140545215837227
"ABHD2",0.3811489988967,0.3811489988967,0.315340149103699,0.315340149103699,0.336087985076195,0.336087985076195,0.251398157915126,0.251398157915126,0.189211327436301,0.189211327436301,0.282006141400836
"SEMA3C",0.014527509708218,0.014527509708218,0.000546356507948986,0.000546356507948986,0.000440930642922055,0.000440930642922055,0.00176106814896215,0.00176106814896215,0.00593342259989749,0.00593342259989749,0.00101970343579327
"TFRC",0.386049863262346,0.386049863262346,0.127128550312827,0.127128550312827,0.0145254799335729,0.0145254799335729,0.00356947144740549,0.00356947144740549,0.00267436978101643,0.00267436978101643,0.0068345168526418
