"","x"
"gene664",1
"gene665",1
"gene666",1
"gene667",1
"gene668",1
"gene669",1
"gene670",1
"gene671",1
"gene672",1
"gene673",1
"gene674",1
"gene675",1
"gene676",1
"gene677",1
"gene678",1
"gene679",1
"gene680",1
"gene681",1
"gene682",1
"gene683",1
"gene684",1
"gene685",1
"gene686",1
"gene687",1
"gene688",1
"gene689",1
"gene690",1
"gene691",1
"gene692",1
"gene693",1
"gene694",1
"gene695",1
"gene696",1
"gene697",1
"gene698",1
"gene699",1
"gene700",1
"gene701",1
"gene702",1
"gene703",1
"gene704",1
"gene705",1
"gene706",1
"gene707",1
"gene708",1
"gene709",1
"gene710",1
"gene711",1
"gene712",1
"gene713",1
"gene714",1
"gene715",1
"gene716",1
"gene717",1
"gene718",1
"gene719",1
"gene720",1
"gene721",1
"gene722",1
"gene723",1
"gene724",1
"gene725",1
"gene726",1
"gene727",1
"gene728",1
"gene729",1
"gene730",1
"gene731",1
"gene732",1
"gene733",1
"gene734",1
"gene735",1
"gene736",1
"gene737",1
"gene738",1
"gene739",1
"gene740",1
"gene741",1
"gene742",1
"gene743",1
"gene744",1
"gene745",1
"gene746",1
"gene747",1
"gene748",1
"gene749",1
"gene750",1
"gene751",1
"gene752",1
"gene753",1
"gene754",1
"gene755",1
"gene756",1
"gene757",1
"gene758",1
"gene759",1
"gene760",1
"gene761",1
"gene762",1
"gene763",1
"gene764",1
"gene765",1
"gene766",1
"gene767",1
"gene768",1
"gene769",1
"gene770",1
"gene771",1
"gene772",1
"gene773",1
"gene774",1
"gene775",1
"gene776",1
"gene777",1
"gene778",1
"gene779",1
"gene780",1
"gene781",1
"gene782",1
"gene783",1
"gene784",1
"gene785",1
"gene786",1
"gene787",1
"gene788",1
"gene789",1
"gene790",1
"gene791",1
"gene792",1
"gene793",1
"gene794",1
"gene795",1
"gene796",1
"gene797",1
"gene798",1
"gene799",1
"gene800",1
"gene2148",1
"gene808",2
"gene801",2
"gene802",3
"gene803",2
"gene804",2
"gene805",3
"gene806",3
"gene807",2
"gene809",2
"gene810",2
"gene811",2
"gene812",2
"gene813",2
"gene814",2
"gene815",2
"gene816",2
"gene817",2
"gene818",2
"gene819",2
"gene820",3
"gene821",3
"gene822",3
"gene823",3
"gene824",2
"gene825",2
"gene826",2
"gene827",2
"gene828",2
"gene829",2
"gene830",2
"gene831",2
"gene832",2
"gene833",2
"gene834",2
"gene835",2
"gene836",2
"gene837",2
"gene838",3
"gene839",2
"gene840",2
"gene841",2
"gene842",2
"gene843",2
"gene844",2
"gene845",2
"gene846",3
"gene847",2
"gene848",2
"gene849",2
"gene850",2
"gene851",2
"gene852",3
"gene853",3
"gene854",2
"gene855",3
"gene856",2
"gene857",2
"gene858",2
"gene859",2
"gene860",3
"gene861",2
"gene862",2
"gene863",2
"gene864",2
"gene865",3
"gene866",2
"gene867",2
"gene868",3
"gene869",3
"gene870",2
"gene871",2
"gene872",2
"gene873",2
"gene874",2
"gene875",2
"gene876",2
"gene877",3
"gene878",2
"gene879",3
"gene880",3
"gene881",3
"gene882",2
"gene883",3
"gene884",2
"gene885",2
"gene886",2
"gene887",2
"gene888",2
"gene889",2
"gene890",3
"gene891",2
"gene892",2
"gene893",3
"gene894",2
"gene895",2
"gene896",2
"gene897",2
"gene898",2
"gene899",2
"gene900",2
"gene2039",2
"gene2508",2
"gene2516",2
"gene2813",2
"gene3027",2
"gene3410",2
"gene3504",2
"gene3587",2
"gene3632",2
"gene3833",2
"gene3876",2
"gene4081",2
"gene4323",2
"gene4666",2
"gene4858",2
"gene4859",2
"gene4860",2
"gene4861",2
"gene4862",2
"gene4863",2
"gene2784",2
"gene3528",2
"gene4002",2
"gene4706",2
"gene4785",2
"gene4864",2
"gene2174",2
"gene2418",2
"gene2489",2
"gene2650",2
"gene2724",2
"gene2805",2
"gene2953",2
"gene3034",2
"gene3195",2
"gene3287",2
"gene3295",2
"gene3394",2
"gene3461",2
"gene3510",2
"gene3739",2
"gene3998",2
"gene4191",2
"gene4396",2
"gene4489",2
"gene4569",2
"gene4715",2
"gene2984",2
"gene2045",2
"gene4621",2
"gene4832",2
"gene2417",2
"gene2297",2
"gene4750",2
"gene3478",2
"gene3822",2
"gene2011",2
"gene1920",3
"gene3509",2
"gene4743",2
"gene953",3
"gene901",3
"gene902",3
"gene903",3
"gene904",3
"gene905",3
"gene906",3
"gene907",3
"gene908",3
"gene909",3
"gene910",3
"gene911",3
"gene912",3
"gene913",3
"gene914",3
"gene915",3
"gene916",3
"gene917",3
"gene918",3
"gene919",3
"gene920",3
"gene921",3
"gene922",3
"gene923",3
"gene924",3
"gene925",3
"gene926",3
"gene927",3
"gene928",3
"gene929",3
"gene930",3
"gene931",3
"gene932",3
"gene933",3
"gene934",3
"gene935",3
"gene936",3
"gene937",3
"gene938",3
"gene939",3
"gene940",3
"gene941",3
"gene942",3
"gene943",3
"gene944",3
"gene945",3
"gene946",3
"gene947",3
"gene948",3
"gene949",3
"gene950",3
"gene951",3
"gene952",3
"gene954",3
"gene955",3
"gene956",3
"gene957",3
"gene958",3
"gene959",3
"gene960",3
"gene961",3
"gene962",3
"gene963",3
"gene964",3
"gene965",3
"gene966",3
"gene967",3
"gene968",3
"gene969",3
"gene970",3
"gene971",3
"gene972",3
"gene973",3
"gene974",3
"gene975",3
"gene976",3
"gene977",3
"gene978",3
"gene979",3
"gene980",3
"gene981",3
"gene982",3
"gene983",3
"gene984",3
"gene985",3
"gene986",3
"gene987",3
"gene988",3
"gene989",3
"gene990",3
"gene991",3
"gene992",3
"gene993",3
"gene994",3
"gene995",3
"gene996",3
"gene997",3
"gene998",3
"gene999",3
"gene1000",3
"gene1001",3
"gene1002",3
"gene1003",3
"gene1004",3
"gene1005",3
"gene1006",3
"gene1007",3
"gene1008",3
"gene1009",3
"gene1010",3
"gene1011",3
"gene1012",3
"gene1013",3
"gene1014",3
"gene1015",3
"gene1016",3
"gene1017",3
"gene1018",3
"gene1019",3
"gene1020",3
