"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"gene1777",0.00155441111439902,1,0.0023304955078931,1,0.00615858417685722,1,0.0181512423995153,1,0.0275416393962513,0.915287766010265,0.0109291630814848
"gene1778",3.20754765192888e-07,1,1.97989057856359e-10,1,3.23356696974031e-08,1,5.7529918219279e-06,0.949853676067631,0.000223605391672654,0.999998513104,1.96656690931718e-09
"gene1779",0.000275826920356992,1,6.73771033032899e-06,1,1.24066697826386e-06,0.999667701455042,3.5821798812341e-05,1,0.00156412229025593,0.999967337907936,1.01407808192899e-05
"gene1780",0.000512353819812184,1,7.07695703825451e-05,1,0.000162021460845319,1,0.00131360125865043,0.997172971909239,0.0166230584444949,0.998804237613023,0.00046327096774923
"gene1781",3.55690787934293e-08,1,1.52288691529375e-09,1,5.65958584886062e-07,0.999998234369532,0.000109795446258332,0.999885498653174,0.00211707627695135,0.0596722564436427,1.45658363148726e-08
"gene1782",5.98184994050621e-05,1,3.00950639342545e-06,0.999999934802942,8.71777633859594e-07,1,1.10147978480413e-05,1,0.000466542747595056,1,6.29520867434508e-06
"gene1783",2.26877868714226e-07,1,1.29616731570081e-07,0.998978592128996,3.31762941979674e-05,0.999999933443401,0.00256898484869128,0.998337255044649,0.0168072980377878,0.37013480493854,8.22942125888737e-07
"gene1784",0.00136075299914029,1,0.000660137649551196,1,0.00114408271524313,0.999999845993331,0.00106675263488287,0.999999973541648,0.00238308054068048,0.807845310076476,0.00245310320308456
"gene1785",0.000614879123692624,1,6.04303353579638e-07,1,4.69217571463787e-08,1,2.55388753034325e-07,1,1.53230780941538e-06,0.486122328038249,3.63156877014603e-07
"gene1786",0.000215780567660806,1,7.26894091851449e-06,1,6.37703262462708e-06,1,0.000359843986043051,0.992174842172139,0.0152220315753042,0.977769574696294,3.31795181978123e-05
"gene1787",0.91835169654135,1,0.860701841006165,1,0.889914996655264,1,0.933403041051049,0.999635611762437,0.980169661993146,0.597025557687406,0.979760878232215
"gene1788",5.53699420199338e-05,1,8.28994639245906e-06,1,8.96481489376377e-06,1,0.000170235792234852,0.995856945543122,0.00325614767335902,0.982515238834435,3.90902146436556e-05
"gene1789",0.571619114947334,1,0.588069797390238,1,0.793074129051129,1,0.825177972526583,0.999927857098698,0.847284337379712,0.279273452390952,0.975901544520492
"gene1790",0.0136904295392236,1,0.00172486980311226,1,0.0118645559101933,1,0.10336018426566,0.960992118426617,0.200694953772061,0.99928488751509,0.0306501752870816
"gene1791",0.130160296123982,1,0.0339366880457219,1,0.0612758923199304,1,0.14916912546891,0.979428483550938,0.283291458678595,0.35245107149354,0.965102139879396
"gene1792",0.00295402334308825,1,5.66507021493301e-06,1,1.01010912190169e-06,1,1.68047745696676e-05,0.999999974446907,0.000130658224511748,0.999393812034071,8.10693699992981e-06
"gene1793",0.585593076039292,1,0.442434471280078,1,0.440906080481054,1,0.511648814727285,0.999902608495013,0.537487289861324,0.418501171140426,0.975003542246573
"gene1794",1.80866852972361e-05,1,5.57579129657e-09,1,7.67583012706297e-08,0.999782916278373,3.06187627681087e-05,0.850639604855882,0.00167609534419122,0.999999992597383,5.19580958258103e-08
"gene1795",3.36526017682415e-05,1,1.5520828888782e-07,1,1.41656793184453e-07,1,3.57637016739076e-05,0.998792609455068,0.00596189113748902,1,7.37523678573382e-07
"gene1796",0.00206876792353117,1,3.8995279084908e-05,1,8.51448182781489e-06,0.977838041954584,8.75134742497341e-05,1,0.000777310072149762,1,6.41672073302679e-05
"gene1797",0.0793289450466446,1,0.195509935981333,1,0.400035876227507,0.999997383423561,0.40732440893193,0.715706727040232,0.471919285170859,0.967213352192084,0.968236767926066
"gene1798",0.112714738568858,1,0.0667413550334066,1,0.208589721477571,1,0.217683616730884,0.973093710522597,0.247623818107687,0.486552482107387,0.967055309552533
"gene1799",0.0152845850604215,1,0.0567214620727132,1,0.26225553747595,0.999999513946852,0.302915606887868,0.66478127018191,0.186550110726931,0.545122473644993,0.952607192503295
"gene1800",0.000114785669715234,1,0.000570648025309373,1,0.000535590068264535,1,0.00199090904834498,0.965264602257722,0.020724743929767,0.970665844246943,0.000798767029716485
"gene1801",0.593195381735133,1,0.336332972891352,1,0.158062022770184,1,0.0464541398460194,0.899883677884139,0.0504445185350013,0.99123614970176,0.973464334182049
"gene1802",2.11278309707952e-16,1,1.16736725459757e-18,1,3.87963144851166e-14,1,1.38044940332709e-09,0.999999977617512,1.78142329165798e-06,0.02884786926792,2.22044604925031e-16
"gene1803",0.0087548909760099,1,0.00227511010801273,1,0.00351451497352517,0.999994097514957,0.0138019618343879,0.998422037695591,0.0640811880296246,0.509200734577876,0.576186912022902
"gene1804",0.538331683938073,1,0.460493372870449,1,0.783578106000128,0.99999988277571,0.74212975890102,1,0.496927121153323,0.766678309188518,0.975668628231349
"gene1805",0.530604191294654,1,0.803507014405668,1,0.861758904733563,0.999980004444686,0.94712569754484,0.999969361780697,0.979260994695953,0.26405446843989,0.978994877738428
"gene1806",0.000243483977409475,1,2.56923571084755e-06,1,9.26508523835246e-06,1,0.00130745400128318,0.999987331997044,0.0755827298488984,0.995876492272123,1.99443394127696e-05
"gene1807",0.00345205605822474,1,6.47012738963504e-06,1,5.28073594407985e-07,1,4.64434356984844e-05,1,0.00936490853425143,1,4.83171133991434e-06
"gene1808",0.390427532304028,1,0.713314190919772,1,0.854200337657701,1,0.868334390729976,0.988129448511486,0.872577232171558,0.99269725390694,0.981615505440672
